<Product_Start>
产品代码,产品名称,BOM代码,BOM名称,BOM版本，作业手顺ID
CP001，电脑001，电脑BOM001，电脑BOM名称001，电脑BOM版本001,作业手顺ID001
<Product_End>
<JobStep_Start>
作业手顺ID,步骤序号,步骤类型,步骤名称,注意事项,指导图片（视频）地址,指导声音文件URL,是否手动完成,标准时间
作业手顺ID001,1,取料,取面板组件,.\\1.png,,TRUE,10
作业手顺ID001,2,取料,取AD板,.\\2.png,,TRUE,10
作业手顺ID001,3,螺丝刀,马头螺丝刀,.\\3.avi,,TRUE,50
作业手顺ID001,4,取料,取BE板,.\\4.png,,TRUE,10
作业手顺ID001,5,取料,取AD板,.\\2.png,,TRUE,10
作业手顺ID001,6,螺丝刀,马头螺丝刀,.\\3.avi,,TRUE,50
<JobStep_End>
<MatterSetting_Start>
作业手顺ID,步骤序号,物料架,物料名称,物料代码,取料次数
作业手顺ID001,1,1,面板液晶,500000,1
作业手顺ID001,1,2,面板偏光板,310000,2
作业手顺ID001,2,4,AD面板,600000,1
作业手顺ID001,4,3,BE偏光板,410000,2
作业手顺ID001,5,4,AD面板,600000,2
<MatterSetting_End>
<ToolSetting_Start>
作业手顺ID,步骤序号,工具类型,工具程序编号,工具程序名称,工具转矩值（Nm),工具检测判断,工具协议,扭矩下限值,扭矩上限值,时间下限值,时间上限值,角度下限值,角度上限值,使用次数
作业手顺ID001,3,0,1,PSET001,100,0,1,80,110,3,12,10,70,4
作业手顺ID001,6,0,2,PSET002,150,1,1,120,180,5,15,30,120,3
<ToolSetting_End>
<Logical_Processing_Start>
作业手顺ID,步骤序号,动作名称,次数
作业手顺ID001,1,亮灯1,1
作业手顺ID001,1,灭灯1,1
作业手顺ID001,1,亮灯2,2
作业手顺ID001,1,灭灯2,2
作业手顺ID001,2,亮灯4,1
作业手顺ID001,2,灭灯4,1
作业手顺ID001,3,马头螺丝刀001,4
作业手顺ID001,4,亮灯4,2
作业手顺ID001,4,灭灯4,2
作业手顺ID001,5,亮灯3,2
作业手顺ID001,5,灭灯3,2
作业手顺ID001,6,马头螺丝刀002,3
<Logical_Processing_End>
