式样：单个产品开始设定,,,,,,,,,,
<Product_Start>,,,,,,,,,,
MAT 描述,sub lot ID,MAT ID,产品版本,BOM名称,BOM版本,备注,,,,
四方监控屏3,777,777,0,青岛四方监控屏,9,样例,,,,
<Product_End>,,,,,,,,,,
式样：单个产品的作业步骤设定,,,,,,,,,,
<JobStep_Start>,,,,,,,,,,
步骤序号,步骤类型,步骤名称,标准时间(秒),作业完成手动判断,式样文件路径,等待时间（秒）,注意事项,自动逻辑判断,工序标识,照片保存地址
1,取料,取面板 外观检查,10,TRUE,1.png,0,,,1,
2,拧螺丝,固定至安装板,10,FALSE,2.png,0,,JToolOK,2,
3,取料,取AD板,10,TRUE,3.png,0,,,1,
4,拧螺丝,安装AD板,20,FALSE,4.png,10,,JToolOK,2,
5,检查,外观检查,10,TRUE,5.png,0,,,,
6,拍照,拍照存档,10,FALSE,6.jpg,0,,PhotographOK,,C:\Users
<JobStep_End>,,,,,,,,,,
式样：单个产品单个步骤的物料设定,,,,,,,,,,
<MatterSetting_Start>,,,,,,,,,,
步骤序号,物料代码,需求数量,取料计数,物料灯逻辑判定,扫码选择,,,,,
1,5.00E+14,1,TRUE,,,,,,,
1,3.10E+14,2,TRUE,JMaterialLampOK,,,,,,
2,3.10E+14,4,TRUE,JMaterialLampOK,,,,,,
3,5.00E+14,1,TRUE,,,,,,,
4,3.10E+14,4,TRUE,JMaterialLampOK,,,,,,
<MatterSetting_End>,,,,,,,,,,
式样：单个产品单个步骤的工具规格设定,,,,,,,,,,
<ToolSetting_Start>,,,,,,,,,,
步骤序号,工具代码,计数,旋转扭矩最大值最小值,旋转时间最大值：最小值,旋转角度最大值：最小值,工具使用逻辑判定,如果为范围值为0.0的话，范围值外部获取,,,
2,电动螺丝刀1,1,,,,,,,,
4,电动螺丝刀2,1,6:14,6:14,6:14,ToolEnum,,,,
<ToolSetting_End>,,,,,,,,,,
式样：单个产品单个步骤的MES图号检验,,,,,,,,,,
<MESImageCheck_Start>,,,,,,,,,,
步骤序号,物料代码追溯,位置号码,条码读取规格,开始位,长度,MES图号校验,图号种类,代码,,
1,TRUE,,TRUE,2,6,TRUE,标准图号1,11111,,
3,TRUE,,,3,5,TRUE,标准图号2,22222,,
<MesImageCheck_End>,,,,,,,,,,
